"Year","Citations","Title","DOI","OAStatus","OAUrl","PrimaryPDF","Landing","Authors","Topic","Volume","Issue","FirstPage","LastPage"
"2025","0","Toward a Dynamic Closed-Loop Neuromorphic Trajectory Interpolation Model: Hardware Emulation and Software Simulation","https://doi.org/10.1109/tcsii.2025.3582362","hybrid","https://doi.org/10.1109/tcsii.2025.3582362",,"https://doi.org/10.1109/tcsii.2025.3582362","Daniel Casanueva‐Morato; Chenxi Wu; Giacomo Indiveri; Alejandro Linares-Barranco; Juan P. Dominguez‐Morales","Real-time simulation and control systems","72","12","1892","1896"
"2025","0","A 91.8-dB SNDR 24-kHz BW Discrete-Time ΔΣ ADC Employing Gain-Switched FIA With Sampling Noise Cancellation","https://doi.org/10.1109/tcsii.2025.3630610","hybrid","https://doi.org/10.1109/tcsii.2025.3630610",,"https://doi.org/10.1109/tcsii.2025.3630610","Ximing Wang; Yuyang Zhu; Haoming Zhang; Yunjie Chen; Jiaao Yu","Analog and Mixed-Signal Circuit Design","73","1","8","12"
"2024","0","TechRxiv: Share Your Preprint Research with the World!","https://doi.org/10.1109/tcsii.2024.3377849","bronze","https://ieeexplore.ieee.org/ielx7/8920/10480869/10480891.pdf","https://ieeexplore.ieee.org/ielx7/8920/10480869/10480891.pdf","https://doi.org/10.1109/tcsii.2024.3377849","","Academic Publishing and Open Access","71","4","2500","2500"
"2025","0","Analysis of Clock Jitter in VCO-ADCs Under Presence of Mismatch and Blocking Signals","https://doi.org/10.1109/tcsii.2025.3578208","hybrid","https://doi.org/10.1109/tcsii.2025.3578208",,"https://doi.org/10.1109/tcsii.2025.3578208","Javier Granizo; Ruben Garvi; Víctor Medina; Luis Hernández","Analog and Mixed-Signal Circuit Design","72","12","1822","1826"
"2024","0","TechRxiv: Share Your Preprint Research with the World!","https://doi.org/10.1109/tcsii.2024.3351493","bronze","https://ieeexplore.ieee.org/ielx7/8920/10385034/10385037.pdf","https://ieeexplore.ieee.org/ielx7/8920/10385034/10385037.pdf","https://doi.org/10.1109/tcsii.2024.3351493","","Academic Publishing and Open Access","71","1","500","500"
"2024","0","Linear Systems With Uncertain Complex Coefficients for AC Sensitivity Analysis","https://doi.org/10.1109/tcsii.2024.3385115","green","https://iris.unitn.it/bitstream/11572/409575/1/J068_2024_CircuitsAndSystems.pdf",,"http://dx.doi.org/10.1109/tcsii.2024.3385115","Daniele De Cecco; Franco Blanchini; Daniele Casagrande; Giulia Giordano; Erica Salvato","Numerical Methods and Algorithms","71","9","4241","4245"
"2026","0","A Cross-Voltage-Domain Instrumentation-Amplifier ESP Unit for Ion Shuttling at 5 K","https://doi.org/10.1109/tcsii.2026.3679250","hybrid","https://doi.org/10.1109/tcsii.2026.3679250",,"https://doi.org/10.1109/tcsii.2026.3679250","Alexander Meyer; Zhiqi Guo; Marius Neumann; Paul Julius Ritter; Meinhard Schilling","Particle accelerators and beam dynamics","73","5","528","532"
"2024","0","Correction to “A 4.4-GHz 193.2-dB FoM 8-Shaped-Inductor-Based LC-VCO Using Orthogonal-Coupled Triple-Coil Transformer”","https://doi.org/10.1109/tcsii.2023.3275689","bronze","https://ieeexplore.ieee.org/ielx7/8920/10537170/10537252.pdf","https://ieeexplore.ieee.org/ielx7/8920/10537170/10537252.pdf","http://dx.doi.org/10.1109/tcsii.2023.3275689","Yaqian Sun; Wei Deng; Haikun Jia; Zhihua Wang; Baoyong Chi","Radio Frequency Integrated Circuit Design","71","5","2904","2904"
"2024","0","Guest Editorial Special Issue on the 2024 IEEE International Symposium on Circuits and Systems","https://doi.org/10.1109/tcsii.2024.3381408","bronze","https://ieeexplore.ieee.org/ielx7/8920/10537170/10537173.pdf","https://ieeexplore.ieee.org/ielx7/8920/10537170/10537173.pdf","http://dx.doi.org/10.1109/tcsii.2024.3381408","Edoardo Bonizzoni; Sebastián Hoyos; Antonio Liscidini","Advanced Research in Systems and Signal Processing","71","5","2503","2503"
"2024","0","IEEE Circuits and Systems Society Information","https://doi.org/10.1109/tcsii.2024.3359079","bronze","https://ieeexplore.ieee.org/ielx7/8920/10423416/10423568.pdf","https://ieeexplore.ieee.org/ielx7/8920/10423416/10423568.pdf","https://doi.org/10.1109/tcsii.2024.3359079","Manuel Delgado-Restituto; Hoon Sunwoo; Amara Amara; Zaman Fakhrul; Rokhani","Electrical and Electromagnetic Research","71","2","C3","C3"
"2025","0","Halfbex: RISC-V Narrow Data Path Optimization for Energy Reduction","https://doi.org/10.1109/tcsii.2025.3591789","hybrid","https://doi.org/10.1109/tcsii.2025.3591789",,"https://doi.org/10.1109/tcsii.2025.3591789","Äantas Kesten; Tobias Kaiser; Jenny Lichtenstein; Christian Rudorf; Friedel Gerfers","Low-power high-performance VLSI design","72","12","1887","1891"
"2024","0","Incoming Editorial","https://doi.org/10.1109/tcsii.2023.3331868","bronze","https://ieeexplore.ieee.org/ielx7/8920/10385034/10385036.pdf","https://ieeexplore.ieee.org/ielx7/8920/10385034/10385036.pdf","https://doi.org/10.1109/tcsii.2023.3331868","Edoardo Bonizzoni","Engineering and Technology Innovations","71","1","3","5"
"2024","0","IEEE Transactions on Circuits and Systems--II: Express Briefs Publication Information","https://doi.org/10.1109/tcsii.2024.3398395","bronze","https://ieeexplore.ieee.org/ielx7/8920/10537170/10537172.pdf","https://ieeexplore.ieee.org/ielx7/8920/10537170/10537172.pdf","https://doi.org/10.1109/tcsii.2024.3398395","Edoardo Bonizzoni; Antonio Liscidini; Daniel Burbano; Pasquale Corsonello; Gordana Jovanovic","Low-power high-performance VLSI design","71","5","C2","C2"
"2025","0","A Novel Error Metric for Evaluating the Error Correction Capability of Approximate Units","https://doi.org/10.1109/tcsii.2025.3574662","green","https://pureadmin.qub.ac.uk/ws/files/640711321/A_Novel_Error_Metric_for_Evaluating_the_Error_Correction_Capability_of_Approximate_Units.pdf",,"https://doi.org/10.1109/tcsii.2025.3574662","Yuqin Dou; Zhikuang Cai; Haroon Waris; Roger Woods; Weiqiang Liu","Sensor Technology and Measurement Systems","72","7","898","902"
